,Antonyms,Term,Synonyms
0,[''],frictional,['']
1,[''],fig,['']
2,['original'],carbon,"['graphite', 'soot', 'imitate', 'paint', 'photocopy', 'plagiarize', 'repeat', 'replicate', 'reproduce', 'rewrite', 'simulate', 'transcribe', 'image', 'model', 'photograph', 'portrait', 'print', 'replica', 'reproduction', 'transcript', 'type']"
3,[''],nanotubes,['']
4,[''],amazonaws,['']
5,"['discourage', 'depress', 'stop', 'halt', 'dissuade', 'prevent']",prod,"['nudge', 'press', 'prompt', 'propel', 'motivate', 'goad', 'remind', 'provoke', 'spur', 'stimulate', 'condone', 'incite', 'instigate', 'collide', 'shove', 'smack', 'clue', 'hint', 'suggestion']"
6,"['moderate', 'mild', 'gentle', 'smooth', 'flat', 'level']",rolling,"['hilly', 'undulating', 'alive', 'effective', 'operating', 'falling', 'rolling', 'running', 'sinuous', 'streaming', 'tidal', 'craggy', 'elevated', 'mountainous', 'rocky', 'rugged', 'sloping', 'steep']"
7,[''],as,['since']
8,[''],com,['']
9,[''],ucs,['']
10,[''],resin,"['paste', 'wax']"
11,[''],https,['']
12,"['reveal', 'spend', 'waste', 'disperse', 'uncover', 'squander', 'little', 'diminish', 'divide', 'shrink', 'contract', 'lose', 'separate', 'lessen', 'decrease', 'forfeit', 'scatter', 'shrinkage']",store,"['stock', 'box', 'magazine', 'depot', 'bank', 'shop', 'emporium', 'boutique', 'outlet', 'market', 'supermarket', 'deli', 'showroom', 'drugstore', 'save', 'hoard', 'hide', 'stash', 'freeze', 'accumulate', 'stockpile', 'deposit', 'put', 'keep', 'bury', 'pack', 'lots', 'mass', 'accrue', 'acquire', 'assemble', 'collect', 'compile', 'concentrate', 'expand', 'gain', 'grow', 'increase', 'swell', 'accretion', 'aggregation', 'build-up', 'growth', 'inflation', 'pile', 'quantity']"
13,"['exteriority', 'outside', 'exterior', 'disorder', 'agreement', 'disorganization']",axis,"['heart', 'hub', 'place', 'border', 'channel', 'division', 'group', 'lane', 'list', 'order', 'path', 'road', 'route', 'row', 'series', 'street', 'track', 'train', 'way']"
14,"['ascend', 'discourage', 'dissuade', 'remain', 'retard', 'rise', 'stay', 'stop']",sliding,"['accelerate', 'drift', 'drive', 'drop', 'fall', 'flow', 'glide', 'move', 'sag', 'shift', 'shove', 'skate', 'skid', 'slip', 'slither', 'slump', 'tumble', 'veer', 'downward', 'collapsing', 'decreasing', 'descending', 'lowering', 'plunging', 'sliding', 'tumbling', 'weakening']"
15,[''],mylvaganam,['']
16,"['discontented', 'unhappy', 'unsatisfied', 'upset', 'offend', 'frustrate', 'dissatisfy', 'disappoint', 'provoke', 'trouble', 'agitate', 'irritate', 'aggravate', 'worry', 'worsen', 'intensify', 'increase', 'incite']",content,"['comfortable', 'contented', 'fulfilled', 'satisfied', 'willing', 'substance', 'text', 'idea', 'matter', 'composition', 'subject', 'size', 'satisfy', 'gratify', 'reconcile', 'captivate', 'tickle', 'indulge', 'suffice', 'allay', 'alleviate', 'assuage', 'blunt', 'calm', 'lessen', 'mitigate', 'mollify', 'placate', 'quell', 'soften', 'soothe']"
17,[''],track,"['path', 'record', 'step', 'trail', 'roadway', 'lane', 'route', 'rail', 'course', 'street', 'road', 'line', 'highway', 'avenue', 'boulevard', 'corridor', 'duct', 'passage', 'pathway', 'sewer', 'thoroughfare', 'tube', 'artery']"
18,"['use', 'little', 'discourage', 'take', 'hurt', 'dissuade', 'weaken', 'injure']",load,"['amount', 'bundle', 'capacity', 'consignment', 'goods', 'haul', 'payload', 'shipment', 'weight', 'task', 'responsibility', 'lade', 'stuff', 'pile', 'carry', 'cram', 'pack', 'stack', 'store', 'fill', 'lots', 'mass', 'millstone', 'bulk', 'chunk', 'extent', 'load', 'lot', 'measure', 'number', 'supply', 'ton', 'volume', 'fortify', 'mobilize', 'prepare', 'protect', 'provide', 'strengthen']"
19,[''],pii,['']
20,[''],sml,['']
21,"['end', 'result', 'concrete']",image,"['appearance', 'copy', 'drawing', 'figure', 'form', 'icon', 'illustration', 'likeness', 'model', 'photograph', 'picture', 'portrait', 'statue', 'impression', 'perception', 'idea', 'thought', 'notion', 'vision', 'image', 'design', 'develop', 'devise', 'envision', 'formulate', 'originate', 'produce', 'realize', 'visualize', 'approach', 'conception', 'theory', 'view', 'appreciation', 'conceit', 'concept', 'interpretation', 'realization']"
22,['behind'],on,"['advanced', 'along', 'before', 'earlier', 'forward', 'onward', 'through']"
23,[''],horizontally,"['diagonally', 'vertically', 'horizontally']"
24,[''],and,"['again', 'further', 'likewise', 'more', 'still', 'too', 'also', 'extra', 'higher', 'new', 'other']"
25,[''],zarudi,['']
26,"['unfashionable', 'old-fashioned']",in,"['approach', 'connection', 'entry', 'chic', 'elegant', 'fashionable', 'high-class', 'posh', 'modern', 'ongoing', 'present', 'prevailing']"
27,[''],eu,['']
28,"['peace', 'agreement', 'harmony', 'calm', 'agree', 'concur']",row,"['line', 'succession', 'tier', 'quarrel', 'trouble', 'controversy', 'squabble', 'dispute', 'sail', 'paddle', 'argument', 'bickering', 'blowup', 'flap', 'run-in', 'tiff', 'wrangle', 'contend', 'disagree', 'quibble', 'altercation', 'brawl', 'clash', 'debate', 'disagreement', 'exchange', 'feud']"
29,[''],of,['']
30,[''],coefficient,"['harmonious', 'collegial', 'symbiotic', 'interdependent', 'united', 'concerted', 'reciprocal', 'coordinated']"
31,"['abnormal', 'different', 'disorderly', 'extraordinary', 'irregular', 'rare', 'uncommon', 'untraditional', 'unusual', 'unhealthy', 'sick', 'poor', 'disapproved', 'unpopular', 'common', 'ordinary', 'standard', 'similar', 'usual', 'unconventional', 'infrequent']",normal,"['natural', 'orderly', 'ordinary', 'regular', 'routine', 'traditional', 'typical', 'healthy', 'whole', 'reasonable', 'well-adjusted', 'acknowledged', 'approved', 'authorized', 'confirmed', 'conventional', 'customary', 'endorsed', 'established', 'fashionable', 'popular', 'preferred', 'received', 'recognized', 'sanctioned', 'time-honored', 'universal', 'welcomed', 'physical', 'distinctive', 'idiosyncratic', 'innate', 'peculiar', 'singular', 'unique', 'mundane', 'normal', 'obvious', 'prevalent', 'accepted', 'commonplace', 'frequent', 'prosaic', 'usual', 'workaday']"
32,[''],tribological,['']
33,[''],cnts,['']
