,0,1,2
0,carbon,original,ant
1,carbon,graphite,syn
2,carbon,soot,syn
3,carbon,imitate,syn
4,carbon,paint,syn
5,carbon,photocopy,syn
6,carbon,plagiarize,syn
7,carbon,repeat,syn
8,carbon,replicate,syn
9,carbon,reproduce,syn
10,carbon,rewrite,syn
11,carbon,simulate,syn
12,carbon,transcribe,syn
13,carbon,image,syn
14,carbon,model,syn
15,carbon,photograph,syn
16,carbon,portrait,syn
17,carbon,print,syn
18,carbon,replica,syn
19,carbon,reproduction,syn
20,carbon,transcript,syn
21,carbon,type,syn
22,prod,discourage,ant
23,prod,depress,ant
24,prod,stop,ant
25,prod,halt,ant
26,prod,dissuade,ant
27,prod,prevent,ant
28,prod,nudge,syn
29,prod,press,syn
30,prod,prompt,syn
31,prod,propel,syn
32,prod,motivate,syn
33,prod,goad,syn
34,prod,remind,syn
35,prod,provoke,syn
36,prod,spur,syn
37,prod,stimulate,syn
38,prod,condone,syn
39,prod,incite,syn
40,prod,instigate,syn
41,prod,collide,syn
42,prod,shove,syn
43,prod,smack,syn
44,prod,clue,syn
45,prod,hint,syn
46,prod,suggestion,syn
47,rolling,moderate,ant
48,rolling,mild,ant
49,rolling,gentle,ant
50,rolling,smooth,ant
51,rolling,flat,ant
52,rolling,level,ant
53,rolling,hilly,syn
54,rolling,undulating,syn
55,rolling,alive,syn
56,rolling,effective,syn
57,rolling,operating,syn
58,rolling,falling,syn
59,rolling,rolling,syn
60,rolling,running,syn
61,rolling,sinuous,syn
62,rolling,streaming,syn
63,rolling,tidal,syn
64,rolling,craggy,syn
65,rolling,elevated,syn
66,rolling,mountainous,syn
67,rolling,rocky,syn
68,rolling,rugged,syn
69,rolling,sloping,syn
70,rolling,steep,syn
71,as,since,syn
72,resin,paste,syn
73,resin,wax,syn
74,store,reveal,ant
75,store,spend,ant
76,store,waste,ant
77,store,disperse,ant
78,store,uncover,ant
79,store,squander,ant
80,store,little,ant
81,store,diminish,ant
82,store,divide,ant
83,store,shrink,ant
84,store,contract,ant
85,store,lose,ant
86,store,separate,ant
87,store,lessen,ant
88,store,decrease,ant
89,store,forfeit,ant
90,store,scatter,ant
91,store,shrinkage,ant
92,store,stock,syn
93,store,box,syn
94,store,magazine,syn
95,store,depot,syn
96,store,bank,syn
97,store,shop,syn
98,store,emporium,syn
99,store,boutique,syn
100,store,outlet,syn
101,store,market,syn
102,store,supermarket,syn
103,store,deli,syn
104,store,showroom,syn
105,store,drugstore,syn
106,store,save,syn
107,store,hoard,syn
108,store,hide,syn
109,store,stash,syn
110,store,freeze,syn
111,store,accumulate,syn
112,store,stockpile,syn
113,store,deposit,syn
