,Word,Pair,Relationship,Quality,Cosine Score
1,carbon,graphite,syn,1,
2,carbon,soot,syn,1,
22,prod,discourage,ant,1,
26,prod,dissuade,ant,1,
28,prod,nudge,syn,1,
30,prod,prompt,syn,1,
32,prod,motivate,syn,1,
33,prod,goad,syn,1,
35,prod,provoke,syn,1,
39,prod,incite,syn,1,
51,rolling,flat,ant,1,
52,rolling,level,ant,1,
53,rolling,hilly,syn,1,
54,rolling,undulating,syn,1,
71,as,since,syn,1,
73,resin,wax,syn,1,
75,store,spend,ant,1,
76,store,waste,ant,1,
77,store,disperse,ant,1,
79,store,squander,ant,1,
85,store,lose,ant,1,
88,store,decrease,ant,1,
92,store,stock,syn,1,
95,store,depot,syn,1,
96,store,bank,syn,1,
97,store,shop,syn,1,
98,store,emporium,syn,1,
99,store,boutique,syn,1,
100,store,outlet,syn,1,
101,store,market,syn,1,
102,store,supermarket,syn,1,
103,store,deli,syn,1,
104,store,showroom,syn,1,
105,store,drugstore,syn,1,
106,store,save,syn,1,
107,store,hoard,syn,1,
108,store,hide,syn,1,
109,store,stash,syn,1,
111,store,accumulate,syn,1,
112,store,stockpile,syn,1,
115,store,keep,syn,1,
123,store,collect,syn,1,
145,axis,hub,syn,1,
163,sliding,ascend,ant,1,
172,sliding,drift,syn,1,
175,sliding,fall,syn,1,
180,sliding,shift,syn,1,
183,sliding,skid,syn,1,
184,sliding,slip,syn,1,
200,content,unsatisfied,ant,1,
201,content,upset,ant,1,
202,content,offend,ant,1,
203,content,frustrate,ant,1,
204,content,dissatisfy,ant,1,
205,content,disappoint,ant,1,
206,content,provoke,ant,1,
207,content,trouble,ant,1,
208,content,agitate,ant,1,
209,content,irritate,ant,1,
210,content,aggravate,ant,1,
211,content,worry,ant,1,
212,content,worsen,ant,1,
213,content,intensify,ant,1,
214,content,increase,ant,1,
215,content,incite,ant,1,
216,content,comfortable,syn,1,
217,content,contented,syn,1,
218,content,fulfilled,syn,1,
219,content,satisfied,syn,1,
220,content,willing,syn,1,
221,content,substance,syn,1,
222,content,text,syn,1,
223,content,idea,syn,1,
224,content,matter,syn,1,
225,content,composition,syn,1,
226,content,subject,syn,1,
227,content,size,syn,1,
239,content,calm,syn,1,
248,track,record,syn,1,
250,track,trail,syn,1,
251,track,roadway,syn,1,
253,track,route,syn,1,
255,track,course,syn,1,
256,track,street,syn,1,
257,track,road,syn,1,
258,track,line,syn,1,
259,track,highway,syn,1,
260,track,avenue,syn,1,
261,track,boulevard,syn,1,
265,track,pathway,syn,1,
267,track,thoroughfare,syn,1,
271,load,little,ant,1,
279,load,bundle,syn,1,
283,load,haul,syn,1,
284,load,payload,syn,1,
285,load,shipment,syn,1,
286,load,weight,syn,1,
289,load,lade,syn,1,
290,load,stuff,syn,1,
291,load,pile,syn,1,
292,load,carry,syn,1,
293,load,cram,syn,1,
294,load,pack,syn,1,
295,load,stack,syn,1,
296,load,store,syn,1,
297,load,fill,syn,1,
299,load,mass,syn,1,
300,load,millstone,syn,1,
301,load,bulk,syn,1,
302,load,chunk,syn,1,
304,load,load,syn,1,
305,load,lot,syn,1,
308,load,supply,syn,1,
309,load,ton,syn,1,
313,load,prepare,syn,1,
320,image,appearance,syn,1,
321,image,copy,syn,1,
322,image,drawing,syn,1,
323,image,figure,syn,1,
324,image,form,syn,1,
325,image,icon,syn,1,
326,image,illustration,syn,1,
327,image,likeness,syn,1,
328,image,model,syn,1,
329,image,photograph,syn,1,
330,image,picture,syn,1,
331,image,portrait,syn,1,
332,image,statue,syn,1,
333,image,impression,syn,1,
334,image,perception,syn,1,
335,image,idea,syn,1,
336,image,thought,syn,1,
337,image,notion,syn,1,
338,image,vision,syn,1,
339,image,image,syn,1,
340,image,design,syn,1,
341,image,develop,syn,1,
342,image,devise,syn,1,
343,image,envision,syn,1,
344,image,formulate,syn,1,
345,image,originate,syn,1,
346,image,produce,syn,1,
347,image,realize,syn,1,
348,image,visualize,syn,1,
349,image,approach,syn,1,
350,image,conception,syn,1,
351,image,theory,syn,1,
352,image,view,syn,1,
353,image,appreciation,syn,1,
355,image,concept,syn,1,
356,image,interpretation,syn,1,
357,image,realization,syn,1,
363,on,forward,syn,1,
364,on,onward,syn,1,
365,on,through,syn,1,
368,horizontally,horizontally,syn,1,
375,and,also,syn,1,
380,in,unfashionable,ant,1,
381,in,old-fashioned,ant,1,
383,in,connection,syn,1,
384,in,entry,syn,1,
385,in,chic,syn,1,
386,in,elegant,syn,1,
387,in,fashionable,syn,1,
389,in,posh,syn,1,
390,in,modern,syn,1,
391,in,ongoing,syn,1,
392,in,present,syn,1,
394,row,peace,ant,1,
395,row,agreement,ant,1,
396,row,harmony,ant,1,
397,row,calm,ant,1,
398,row,agree,ant,1,
399,row,concur,ant,1,
400,row,line,syn,1,
401,row,succession,syn,1,
403,row,quarrel,syn,1,
406,row,squabble,syn,1,
407,row,dispute,syn,1,
409,row,paddle,syn,1,
410,row,argument,syn,1,
414,row,run-in,syn,1,
418,row,disagree,syn,1,
420,row,altercation,syn,1,
423,row,debate,syn,1,
424,row,disagreement,syn,1,
426,row,feud,syn,1,
435,normal,abnormal,ant,1,
443,normal,unusual,ant,1,
445,normal,perpendicular,ant,1,
449,normal,common,ant,1,
450,normal,ordinary,ant,1,
451,normal,standard,ant,1,
453,normal,usual,ant,1,
458,normal,ordinary,syn,1,
492,normal,normal,syn,1,
496,normal,commonplace,syn,1,
497,normal,frequent,syn,1,
499,normal,usual,syn,1,
512,tool,device,syn,1,
514,tool,gadget,syn,1,
515,tool,gizmo,syn,1,
519,tool,utensil,syn,1,
522,tool,accessory,syn,1,
530,tool,instrument,syn,1,
531,tool,tool,syn,1,
532,diamond,gem,syn,1,
533,diamond,jewel,syn,1,
534,diamond,rhinestone,syn,1,
557,friction,agreement,ant,1,
560,friction,accord,ant,1,
576,friction,resistance,syn,1,
578,friction,disharmony,syn,1,
585,friction,strife,syn,1,
591,friction,conflict,syn,1,
599,friction,friction,syn,1,
605,friction,clash,syn,1,
613,friction,opposition,syn,1,
621,longitudinal,lengthwise,syn,1,
627,that,that,syn,1,
637,film,picture,syn,1,
638,film,cinema,syn,1,
640,film,footage,syn,1,
641,film,shoot,syn,1,
642,film,photograph,syn,1,
646,film,coating,syn,1,
648,film,layer,syn,1,
654,film,film,syn,1,
677,spectra,range,syn,1,
678,spectra,continuum,syn,1,
679,can,bottle,syn,1,
681,can,canister,syn,1,
686,can,commit,syn,1,
692,decline,increase,ant,1,
693,decline,rise,ant,1,
695,decline,approve,ant,1,
696,decline,allow,ant,1,
697,decline,accept,ant,1,
699,decline,grant,ant,1,
704,decline,extend,ant,1,
707,decline,raise,ant,1,
708,decline,improve,ant,1,
709,decline,ascend,ant,1,
711,decline,grow,ant,1,
718,decline,deterioration,syn,1,
719,decline,downturn,syn,1,
720,decline,drop,syn,1,
722,decline,fall,syn,1,
723,decline,recession,syn,1,
724,decline,slump,syn,1,
725,decline,weakening,syn,1,
726,decline,loss,syn,1,
728,decline,decrease,syn,1,
730,decline,drop-off,syn,1,
731,decline,refuse,syn,1,
733,decline,deny,syn,1,
734,decline,reject,syn,1,
