,Carbon_SynAntList_Full_Refined,word 1,word 2,relationship,label
0,1.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[ 0.3912109  -2.6639938  -0.4191871  -0.3595066  -0.23964018  3.6944976
  3.0509171   0.702499    1.6913383   5.3751564  -2.115056   -0.83640075
  2.871409    1.7925037  -2.4782016   4.1540246   0.77296895 -4.6628795
  1.8318111  -1.212788   -0.9996449   1.986994   -1.3543711  -0.24558693
 -0.82314837  0.77848506  1.8277935  -4.5450025  -1.0783514   1.6212388
  7.7433124  -0.6742032   1.0762877  -1.7076222  -2.9298599  -1.9119076
  2.1929214  -1.928998    4.999854   -0.22349305 -2.9358785  -1.3653935
  6.3499727   0.13409197 -0.7351848  -4.4720435   1.6082276   4.256496
 -0.8268188  -3.4561582 ]",1,1
1,2.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[ 0.67807263 -0.0778522   3.3564792  -1.8280518   1.2305424   7.0237756
  1.4682698   1.2807848  -0.59559894  1.1080627  -3.85729    -1.3610909
 -0.15906616  0.11718669 -4.0550942   3.5817354  -1.3482593  -2.8427444
 -2.17694     1.6578829   0.8336877  -0.8028504   0.30698726  3.47051
 -3.546159   -2.7173305   1.9064367   1.5337628  -6.537608    0.03783036
  3.998046   -0.3097198   0.55397975 -0.82482237 -0.5486379  -1.496022
 -5.0156446  -0.6634415   3.221725   -1.0786719  -0.8119897  -1.8070592
 -0.11358792  3.9540646   0.9769482   0.76801646  1.8934708   3.9018168
  0.2849165  -4.3098493 ]",1,1
2,3.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[-4.0175724e-01  6.6337395e-01 -1.5072205e+00 -1.7301277e+00
 -9.9987566e-01  3.0549845e-01 -4.1253096e-04  7.4534839e-01
  1.0403376e+00  2.0371123e-01  7.5843102e-01  1.2551014e-01
 -1.8564479e+00 -8.4849387e-01  5.4968947e-01 -1.0081065e+00
 -3.0198655e-01  3.1625975e-02 -2.0759612e-02 -1.0774908e+00
 -3.1926064e+00  7.5116974e-01  4.7013676e-01  1.6760377e+00
  1.7214197e+00 -2.1104550e-01 -4.2348522e-01 -9.2476094e-01
  4.7560176e-01  1.3527926e+00  2.9144379e-01 -1.6695330e+00
 -1.6061407e-02  8.0578083e-01 -1.5192625e-01  7.1084565e-01
  4.3369893e-02 -9.5651078e-01  7.6353979e-01  1.2735567e+00
 -6.6069049e-01 -1.1503952e+00  2.3724259e-01 -1.0793356e-01
 -1.2967058e+00 -5.9450191e-01  1.6046886e+00 -1.3852758e+00
  3.0988607e-01  1.2660270e+00]",0,0
3,4.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[ 2.6374276  -0.8799803   1.9580756  -3.1686919  -0.18899168  3.2831428
  0.1653265   1.2271675   0.6161263  -0.45207506 -2.3762949   0.2577802
  1.1019479   1.0556439  -1.448295    0.69369584 -0.6844894  -0.23768383
 -1.2456994  -1.3171722  -2.4384747   1.612392    1.3956971  -1.4984863
  2.282727   -1.4993097  -0.0243924  -3.9325747   0.45238027  1.5375572
  5.8634095   0.15421776  1.3505375   3.1247919  -2.6496558  -0.60646546
 -3.6884732  -0.6683529   1.0565009  -1.662192   -0.41477352  2.6725821
  2.0927117  -2.3495042  -0.28935704 -2.6090825   3.5900798   1.8128089
 -3.2302601  -3.4666321 ]",0,0
4,7.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[-1.5558529   2.824446   -3.416154   -0.963536    0.8265044  -6.7540736
 -3.6141205  -2.963933    2.6529555   1.1379566  -1.155616   -0.08347172
  2.369094   -0.89706635 -3.451266    0.87817293 -0.52942914 -4.7814865
  2.4589524  -2.7171144   3.3934844  -2.4724867  -3.7411323  -2.7020643
 -2.763885   -3.106276   -2.317817    2.087226   -3.3293889  -6.4946294
  1.3321881   2.2955198   2.318289    5.1116424   1.9489918  -0.43478104
 -2.0387652  -0.91575956  0.11815982  2.7252076   3.8013992  -2.0235078
 -1.176572   -3.762314    1.0972229  -1.1621825  -3.5322456  -6.344281
  0.09503128  2.9731746 ]",0,0
5,8.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[-2.4433916  -0.46261686 -2.0865219  -3.0395615  -0.65119594 -0.61489475
  3.760777   -0.23290123 -0.03925163 -2.6075215   1.8826067  -1.9531022
 -0.80671823 -0.07065706  0.40504077 -2.95078     1.2481476   2.670397
 -0.6720302  -3.1595435  -0.18139331  0.38006127  2.2804868   0.23722678
  1.9908515  -2.019878    3.182057    0.01564257 -1.4397376  -3.7662096
  1.1989841  -5.5889897   0.00815443  4.76844     0.33797193 -3.0050411
 -1.5011138  -3.319129    1.9331309   2.0215726   0.9820698   0.24228753
 -1.4093467   0.30240422 -0.2980337   2.1847923   1.6624357  -6.7866898
  3.0455244   2.2395425 ]",0,0
6,9.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[-4.427654    5.1017375  -1.947271   -7.183075   -5.608484    7.2034235
  2.4678185   4.629623    1.841658   -1.3864025   1.6437439  -1.3944517
 -7.20822     0.29490826  4.3417864  -6.5629873   3.5937507   1.7168592
 -1.113446   -0.22078256 -4.3599024   1.9867681  -0.61101997  6.0233884
  4.1959467   0.7279104  -1.2160672   1.2260042  -4.0525303  -0.9411282
  0.68659383 -5.064399   -4.13597     0.53095144 -2.9438653   2.0521193
 -1.8609275  -3.34909     5.934429    5.3791413   0.88903165 -3.1957092
 -0.37878358 -1.189662   -2.6956043   2.6729183   1.3379496  -7.916347
  2.9171543   5.5185814 ]",0,0
7,11.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[-2.7475758   2.0865977  -6.7295885  -5.916711   -0.7696534   9.482174
  4.343088    6.7953      1.3729806  -0.7880894   2.3366985   0.01413055
 -8.866053    0.14642997  2.3572521   1.3750714   1.2705247  -0.73275375
 -1.8978853  -2.1986291  -5.6910415   4.0539026   2.624862    3.2353978
  6.3629355  -2.137391    1.321969   -4.230756   -2.7293818   3.4092333
 -2.1808417  -4.220701    0.9560161   3.8495638  -3.3576796   2.5133805
 -1.6324508  -1.7170222   7.3073854  -0.37910616 -0.59093773 -4.9998293
 -0.25209737 -2.4386606  -2.6987941  -0.8889702   2.764353   -8.725041
  1.3491532   3.703718  ]",0,0
8,12.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[-0.40359485  0.6132108  -0.93834513 -0.61555046  0.36392727 -1.6244907
 -0.6243412   0.3031125   1.1155862   0.44860172  0.08217468  0.01678632
  0.07250862 -0.50706625 -0.471156   -1.3355258   0.05048463  0.28553963
  0.1397735  -0.28030434 -0.9217987  -0.2922655  -0.30084988  0.8886536
 -0.48043585  0.18865381  0.61651254  0.24411698  0.21362017 -0.39990625
 -0.2239435  -0.35263088  0.07641123 -0.11836729 -0.16292    -0.24995774
  0.22348523 -0.57714057  0.7968346   1.0206369   0.57031524 -0.89442754
 -0.8722821   0.17579643  0.1679878  -0.10930447  0.7464255  -0.45370433
  0.62079406  1.4689661 ]",0,0
9,13.0,"[ 1.0246488  -5.6508703  -1.4263288  -3.1607409  -3.1577978   2.5676098
 -2.1579897   1.2385073   0.8541769   6.714282   -1.1778014   0.2732036
  1.6749716   3.9612489  -1.8941954   8.947791    5.3318634  -9.712879
 -3.918741   -2.1009278   0.24732688  5.8447013  -2.446076   -0.05635264
 -0.4750266  -3.8221126   2.1682425  -5.531857   -2.6869686   4.3707895
  6.9673114  -0.5302903   1.836033   -4.0237308   0.61258525 -3.8454115
  2.8808315  -3.776664    2.9303102  -1.1090732  -4.6962852  -0.12973434
  7.226901    4.7541947  -1.2292193  -2.2699482   3.2789288   4.9702005
  6.4493675  -4.845986  ]","[-1.1786736   2.5197074  -1.5847964  -1.6449541   2.729377    2.6057544
 -0.5760352   0.58924276 -0.14669698 -9.975488    2.161295    5.2511764
 -0.26386386  0.28112513 -4.855192    0.85390306 -0.4131417  -0.3905019
 -0.05078879 -0.96650004  0.8543209   3.5002792   1.1639152   2.371867
 -2.3182516  -1.7070844   2.2774882  -1.1217752  -3.6276805  -4.2999177
  4.2642746  -2.7298048   0.06702355  3.8975291  -4.338298    0.8407755
 -3.7184377   0.120524    4.115206    4.0931387   3.4135194   2.7727036
  3.0268497   0.26830113  0.74473715 -2.7339678  -1.073467    3.3391883
  0.99359196  3.4868493 ]",0,0
