,IUPAC,Element,Molecular Formula
0,0.0,6.47e-322,0.0
1,molecular hydrogen,Hydrogen,H2
2,helium,Helium,He
3,lithium,Lithium,Li
4,beryllium,Beryllium,Be
5,boron,Boron,B
6,carbon,Carbon,C
7,molecular nitrogen,Nitrogen,N2
8,molecular oxygen,Oxygen,O2
9,molecular fluorine,Fluorine,F2
10,neon,Neon,Ne
11,sodium,Sodium,Na
12,magnesium,Magnesium,Mg
13,aluminum,Aluminum,Al
14,silicon,Silicon,Si
15,phosphorus,Phosphorus,P
16,sulfur,Sulfur,S
17,molecular chlorine,Chlorine,Cl2
18,argon,Argon,Ar
19,potassium,Potassium,K
20,calcium,Calcium,Ca
21,scandium,Scandium,Sc
22,titanium,Titanium,Ti
23,vanadium,Vanadium,V
24,chromium,Chromium,Cr
25,manganese,Manganese,Mn
26,iron,Iron,Fe
27,cobalt,Cobalt,Co
28,nickel,Nickel,Ni
29,copper,Copper,Cu
30,zinc,Zinc,Zn
31,gallium,Gallium,Ga
32,germanium,Germanium,Ge
33,arsenic,Arsenic,As
34,selenium,Selenium,Se
35,molecular bromine,Bromine,Br2
36,krypton,Krypton,Kr
37,rubidium,Rubidium,Rb
38,strontium,Strontium,Sr
39,yttrium,Yttrium,Y
40,zirconium,Zirconium,Zr
41,niobium,Niobium,Nb
42,molybdenum,Molybdenum,Mo
43,technetium,Technetium,Tc
44,ruthenium,Ruthenium,Ru
45,rhodium,Rhodium,Rh
46,palladium,Palladium,Pd
47,silver,Silver,Ag
48,cadmium,Cadmium,Cd
49,indium,Indium,In
50,tin,Tin,Sn
51,antimony,Antimony,Sb
52,tellurium,Tellurium,Te
53,molecular iodine,Iodine,I2
54,xenon,Xenon,Xe
55,cesium,Cesium,Cs
56,barium,Barium,Ba
57,lanthanum,Lanthanum,La
58,cerium,Cerium,Ce
59,praseodymium,Praseodymium,Pr
60,neodymium,Neodymium,Nd
61,promethium,Promethium,Pm
62,samarium,Samarium,Sm
63,europium,Europium,Eu
64,gadolinium,Gadolinium,Gd
65,terbium,Terbium,Tb
66,dysprosium,Dysprosium,Dy
67,holmium,Holmium,Ho
68,erbium,Erbium,Er
69,thulium,Thulium,Tm
70,ytterbium,Ytterbium,Yb
71,lutetium,Lutetium,Lu
72,hafnium,Hafnium,Hf
73,tantalum,Tantalum,Ta
74,tungsten,Tungsten,W
75,rhenium,Rhenium,Re
76,osmium,Osmium,Os
77,iridium,Iridium,Ir
78,platinum,Platinum,Pt
79,gold,Gold,Au
80,mercury,Mercury,Hg
81,thallium,Thallium,Tl
82,lead,Lead,Pb
83,bismuth,Bismuth,Bi
84,polonium,Polonium,Po
85,astatanylastatine,Astatine,At2
86,radon,Radon,Rn
87,francium,Francium,Fr
88,radium,Radium,Ra
89,actinium,Actinium,Ac
90,thorium,Thorium,Th
91,protactinium,Protactinium,Pa
92,uranium,Uranium,U
93,neptunium,Neptunium,Np
94,plutonium,Plutonium,Pu
95,americium,Americium,Am
96,curium,Curium,Cm
97,berkelium,Berkelium,Bk
98,californium,Californium,Cf
99,einsteinium,Einsteinium,Es
100,fermium,Fermium,Fm
101,mendelevium,Mendelevium,Md
102,nobelium,Nobelium,No
103,lawrencium,Lawrencium,Lr
104,rutherfordium,Rutherfordium,Rf
105,dubnium,Dubnium,Db
106,seaborgium,Seaborgium,Sg
107,bohrium,Bohrium,Bh
108,hassium,Hassium,Hs
109,meitnerium,Meitnerium,Mt
