,Term,Antonyms,Synonyms
0,corrosion,"['building', 'construction', 'development', 'growth', 'improvement', 'strengthening', 'blessing', 'boon', 'increase']","['decay', 'decomposition', 'deterioration', 'erosion', 'rust', 'blight', 'corrosion', 'scourge', 'degeneration', 'disintegration']"
1,flammable,[],"['combustible', 'incendiary', 'fiery', 'inflammable', 'volatile']"
2,resistant,"['weak', 'temporary', 'ephemeral', 'unreliable', 'irresponsible', 'wobbly']","['immune', 'invulnerable', 'dependable', 'enduring', 'lasting', 'permanent', 'reliable', 'stable', 'strong', 'tenacious']"
3,retardate,"['aid', 'assist', 'help', 'promote', 'advance', 'agitate', 'allow', 'develop', 'encourage']","['crimp', 'decelerate', 'hamper', 'handicap', 'impede', 'lessen', 'abate', 'curb', 'curtail', 'decrease']"
4,malleable,"['inflexible', 'rigid', 'stiff', 'unadaptable', 'hard', 'unpliable', 'unyielding', 'unbendable', 'firm']","['adaptable', 'flexible', 'supple', 'workable', 'compliant', 'malleable', 'resilient', 'versatile', 'pliable', 'springy']"
5,flexible,"['firm', 'rigid', 'stiff', 'inflexible']","['malleable', 'soft', 'compliant', 'flexible', 'resilient', 'versatile', 'all-around', 'multifaceted', 'well-rounded']"
6,active,"['apathetic', 'calm', 'disinterested', 'dispirited', 'dull', 'idle', 'inactive']","['alive', 'effective', 'operating', 'aggressive', 'bold', 'busy', 'determined', 'diligent', 'dynamic', 'eager']"
7,cm,[],"['cm', 'centimeter', 'centimetre', 'Cm']"
8,mm,[],"['millimetre', 'mm', 'millimeter']"
9,nm,[],"['nm', 'nanometer', 'micromillimeter', 'nanometre', 'millimicron']"
10,angstrom,[],"['angstrom', 'angstrom unit', 'A']"
11,inhibitor,"[‘activator’, ‘agonist’]",['avoidance']
12,anticorrosive,[‘corrosive’],[]
13,impedance,"['accord', 'agreement', 'concord', 'happiness', 'harmony', 'liking', 'love', 'peace', 'pleasure', 'advantage']","['battle', 'defiance', 'fight', 'intransigence', 'protection', 'refusal', 'struggle', 'support', 'animosity', 'antagonism']"
14,steel,[],[‘iron-carbon alloy’]
15,concentration,"['division', 'parting', 'separation', 'severance', 'laziness', 'idleness']","['absorption', 'combination', 'consolidation', 'accumulation', 'concentration', 'effort', 'industry', 'study']"
16,adsorption,[],"['surface assimilation', 'adsorption']"
17,absorption,"['division', 'severance', 'separation', 'parting']","['consumption', 'digestion', 'intake', 'penetration', 'retention', 'saturation', 'concentration', 'consideration', 'debate', 'mind']"
18,surface,"['central', 'deep', 'interior', 'core', 'middle', 'bulk']","['exterior', 'facial', 'outer', 'outward', 'shallow', 'superficial', 'area', 'facade', 'face']"
19,fe,[],"['atomic number 26', 'iron', 'Fe']"
20,polarization,[‘neutralization’],[]
21,percentage,['whole'],"['chunk', 'percent', ‘proportion’, 'ratio', 'quota']"
22,studies,[],"['consideration', 'examination', 'research', 'inquiry', 'inspection', 'investigation']"
23,measurements,[],"['amount', 'analysis', 'appraisal', 'assessment', 'density', 'dimension', 'evaluation', 'frequency', 'height', 'measure']"
24,immersion,"[‘emersion’, ‘egress’]","[‘dousing’, ‘submersion’, 'dive', 'plunge']"
25,loss,"['attainment', 'benefit', ‘gain’]","['casualty', ‘cost’, ‘damage’]"
26,acid,"[‘base’, ‘alkaline’]","['acerbic', ‘caustic', ‘acidic’]"
27,carbon,[],"['graphite', ‘atomic number 6', 'C', 'diamond', ‘coal']"
28,decontamination,"[‘contamination’, ‘tainting’, ‘pollution’, ‘pollutant’, ‘contaminant’]","[‘decontamination’, ‘decontaminant’]"
29,efficiency,"[‘inefficiency', 'impotence', 'inability', 'inadequacy', 'incapability', 'incapacity', 'incompetence', 'ineptness', ‘inefficient']","['ability', 'adaptability', 'capability', ‘competence', 'performance', 'productivity']"
30,electrochemical,[],[]
31,water,[],"[‘H2O’, ‘hydrate’, ‘dilute’, ‘solvent’, ‘dihydrogen monoxide’]"
32,coatings,[],"['blanket', 'coat', 'crust', 'glaze', ‘layer', ‘sheet’, 'varnish']"
33,protection,"[‘destruction’, ‘corrosion’]","['conservation', 'protect', 'preservation', 'safeguard', 'safety', 'security', 'shelter']"
34,penetration,[],"['infiltration', 'seepage', 'consumption', 'intake', 'retention', 'saturation']"
35,al,[],"['aluminium', 'aluminum', 'Al', 'atomic number 13']"
36,oxidation,"['construction', 'development', 'growth', 'improvement', 'strengthening']","['decay', 'decomposition', 'deterioration', 'erosion', 'rust']"
37,copper,[],"[‘Cu’, ‘atomic number 29’]"
38,metal,[],"['alloy', 'ingot', 'mineral', ‘ore’, ‘metallic’]"
39,mol,[],"['mol', 'gram molecule', 'mole']"
40,rate,"['disregard', 'ignore']","['amount', 'estimate', 'percentage', 'quota', 'standard', 'cost', 'figure', 'price', 'tariff', 'tax']"
41,ph,[],"['pH', 'pH scale']"
42,brass,[],[]
43,cathodic,[‘anodic’],[]
44,environment,[],"['climate', 'habitat', 'setting', 'surroundings', 'ecosystem', 'ambience']"
45,performance,[],"[‘act’, 'conduct', 'execution', 'behavior']"
46,elastic,"['hard', 'inflexible', 'rigid', 'stiff', 'unadaptable', 'unbendable', 'unpliable', 'unyielding']","['flexible', 'malleable', 'pliable', 'resilient', 'springy', 'supple', ‘bendable']"
47,constant,"['broken', 'discontinuous', 'imbalanced', 'inconsistent', 'inconstant', 'infrequent', 'intermittent', 'interrupted', 'irregular', 'temporary']","['consistent', 'continual', 'nonstop', 'perpetual', 'regular', 'stable', 'steady', 'uninterrupted', 'ceaseless']"
48,refractive,[],"['deflective', 'refractive', 'refractile']"
49,inductive,[],[]
50,zinc,[],"[‘Zn’, ‘atomic number 30’]"
51,external,[‘internal'],[]
52,sodium,[],"['atomic number 11', 'Na']"
53,free,"['constrained', ‘blocked', 'restricted', 'dependent']","['independent', 'loose', 'unfettered', ‘unrestricted’, ‘unconstrained’]"
54,thermal,[‘isothermal'],[heat dependent]
55,decomposition,"['strengthening', 'construction', 'growth', 'development', 'building', 'improvement', 'increase', 'beginning', 'sterility']","['decay', 'disintegration', 'decomposition', 'deterioration', 'erosion', 'rust', 'blight', 'corrosion', 'degeneration', 'disrepair']"
56,organic,"[‘inorganic’, ‘metallic’]","['biological', ‘nuclear’, ‘carbon-based’]"
57,exposure,[‘inaccessibility’],"[‘availability', ‘vulnerability’, ‘openness’]"
58,crystalline,[‘amorphous'],"[‘structured’, ‘organized’]"
59,protective,"[‘attacking’, ‘corrosive’]",[]
60,pb,[],"['Pb', 'lead', 'atomic number 82']"
61,lead,[],[]
62,alkaline,"[‘acidic', ‘low pH’]","['basic', ‘briny’, ‘high pH’]"
63,asymmetric,"[‘achiral’, ‘symmetric]","[‘chiral’, ‘non-mirrored’]"
64,additive,"[‘degressive’, ‘decremental’]","['cumulative', 'accumulative', 'accretive', 'conglomerative']"
65,homogeneous,"[‘heterogeneous’, ‘dissimilar]","[‘uniform’, ‘unvaried’, consistent]"
66,volatile,"['stable', ‘nonreactive']","[‘explosive’, ‘reactive’, ‘unstable’, ‘evaporative’, ‘eruptive’]"
67,stainless,"['blemished', 'corroded', 'rusty']","['unblemished', 'clear']"
68,soil,"['clean', 'purify']","['clay', 'dust', 'ground', ‘contaminate', 'degrade', 'mud']"
69,reduction,"[‘increase’, ‘oxidation’]","['contraction', 'cutback', ‘deduction']"
70,sour,[‘sweet'],"['acid', 'acidic', 'caustic']"
71,layer,[],"['blanket', 'coat', 'sheet']"
72,negative,"[‘positive’, ‘cationic’]",[‘anionic’]
73,durable,"['ephemeral', 'irresponsible', 'temporary', 'unreliable', ‘weak’]","['dependable', 'enduring', 'lasting', 'permanent', 'reliable', 'stable', 'strong', 'tenacious', 'durable', 'sure']"
74,autonomous,"['subservient', 'dependent']","['self-governing', ‘sovereign’, ‘independent’]"
75,hazardous,"['safe', 'secure', 'stable']","['dicey', 'difficult', 'perilous', 'precarious', 'risky', 'unhealthy', 'unsafe']"
76,absorb,[‘desorb’],"['consume', 'ingest', 'swallow', ‘suck', 'incorporate']"
77,similar,"['alien', 'different', 'dissimilar', 'unalike', 'unlike', 'unrelated']","['akin', 'analogous', 'comparable', 'complementary', 'identical', 'related']"
78,pattern,"['disorder', 'disorganization']","['arrangement', 'sequence', ‘motif’]"
79,physical,"['mental', 'spiritual']",[]
80,activation,"['deactivation', 'inactivation']","['energizing', 'activating']"
81,excess,"['insufficiency', ‘lack’, ‘limiting reagent’]",['surplus']
82,transparent,"[‘opaque', 'cloudy']","['clear', 'translucent']"
83,synthesis,[],[]
84,reactive,"[‘inert’, ‘inactive’, ‘nonvolatile’]","['active', ‘volatile']"
85,uniform,"['disorderly', ‘heterogeneous’]",['homogeneous']
86,cohesive,"['detached', 'divided', 'loose', ‘separated’]","['close-knit', 'united']"
87,conductive,"[‘nonconductive’, ‘insulating’]",['conductive']
88,hindrance,"['advantage', 'aid', 'assistance', 'benefit', 'help', 'opening', 'freedom']","['barrier', 'deterrent', 'drawback', 'handicap', 'impediment', 'interference', 'interruption', 'obstacle']"
89,feedback,[],"['assessment', 'comment', 'criticism', 'evaluation', ‘observation', ‘report']"
90,gaseous,"[‘solid’, ‘liquid’]","['sublime', ‘vapor’]"
91,barrier,"['assistance', 'help', 'opening', 'advantage', 'aid', 'benefit', 'freedom', 'center', 'middle', 'interior']","['barricade', 'blockade', 'boundary', 'fence', 'hurdle', 'impediment', 'limit', 'obstacle', 'roadblock']"
92,aggregation,"['shrinkage', 'decrease', 'individual', 'whole']","['accretion', 'build-up', 'growth', ‘pile-up’]"
93,inclusion,[],"['incorporation', ‘imperfection’]"
94,microscopic,"['big', 'huge', 'large', ‘macroscopic’]","['atomic', 'infinitesimal', 'minuscule', 'teeny']"
95,ethane,[],"['ethane', 'C2H6']"
96,sulfur,[],"['sulfur', 'atomic number 16', 'S', 'sulphur']"
97,cracking,"['intact', 'whole', 'undamaged']","['bursted', 'chopped', 'fatigued', 'damaged', 'fractured']"
98,mineral,[],"['ore', ‘vitamin’]"
99,stability,"[‘agitation', 'unsteadiness', 'instability']","['balance', 'cohesion', 'stable', 'equilibrium']"
100,magnesium,[],"['Mg', 'magnesium', 'atomic number 12']"
