,Term,Antonyms,Synonyms
0,corrosion,"['building', 'construction', 'development', 'growth', 'improvement', 'strengthening', 'blessing', 'boon', 'increase']","['decay', 'decomposition', 'deterioration', 'erosion', 'rust', 'blight', 'corrosion', 'scourge', 'degeneration', 'disintegration']"
1,flammable,[],"['combustible', 'incendiary', 'fiery', 'flammable', 'volatile']"
2,resistant,"['weak', 'temporary', 'ephemeral', 'unreliable', 'irresponsible', 'wobbly']","['immune', 'invulnerable', 'dependable', 'enduring', 'lasting', 'permanent', 'reliable', 'stable', 'strong', 'tenacious']"
3,retardate,"['aid', 'assist', 'help', 'promote', 'advance', 'agitate', 'allow', 'develop', 'encourage', 'enlarge']","['crimp', 'decelerate', 'hamper', 'handicap', 'impede', 'lessen', 'abate', 'curb', 'curtail', 'decrease']"
4,malleable,"['inflexible', 'rigid', 'stiff', 'unadaptable', 'hard', 'unpliable', 'unyielding', 'unbendable', 'firm']","['adaptable', 'flexible', 'supple', 'workable', 'compliant', 'malleable', 'resilient', 'versatile', 'pliable', 'springy']"
5,flexible,"['firm', 'rigid', 'stiff', 'inflexible']","['malleable', 'soft', 'compliant', 'flexible', 'resilient', 'versatile', 'all-around', 'multifaceted', 'well-rounded']"
6,active,"['afraid', 'apathetic', 'calm', 'cowardly', 'disinterested', 'dispirited', 'dull', 'idle', 'ignorant', 'inactive']","['alive', 'effective', 'operating', 'aggressive', 'bold', 'busy', 'determined', 'diligent', 'dynamic', 'eager']"
7,cm,[],"['atomic number 96', 'curium', 'cm', 'centimeter', 'centimetre', 'Cm']"
8,mm,[],"['millimetre', 'mm', 'millimeter']"
9,nm,[],"['Land of Enchantment', 'nm', 'nanometer', 'NM', 'micromillimetre', 'New Mexico', 'micromillimeter', 'nanometre', 'millimicron']"
10,angstrom,[],"['angstrom', 'angstrom unit', 'A']"
11,inhibitor,['activator'],['avoidance']
12,anticorrosive,[],[]
13,impedance,"['accord', 'agreement', 'concord', 'happiness', 'harmony', 'liking', 'love', 'peace', 'pleasure', 'advantage']","['battle', 'defiance', 'fight', 'intransigence', 'protection', 'refusal', 'struggle', 'support', 'animosity', 'antagonism']"
14,steel,"['weaken', 'discourage', 'depress']","['brace', 'fortify', 'gird', 'prepare', 'ready', 'buoy', 'comfort', 'elate', 'encourage', 'hearten']"
15,concentration,"['division', 'parting', 'separation', 'severance', 'laziness', 'idleness']","['absorption', 'combination', 'consolidation', 'accumulation', 'concentration', 'effort', 'industry', 'study']"
16,adsorption,[],"['surface assimilation', 'adsorption']"
17,absorption,"['division', 'severance', 'separation', 'parting']","['consumption', 'digestion', 'intake', 'penetration', 'retention', 'saturation', 'concentration', 'consideration', 'debate', 'mind']"
18,surface,"['central', 'deep', 'interior', 'character', 'core', 'middle', 'personality', 'disappear', 'depart', 'miss']","['exterior', 'facial', 'outer', 'outward', 'shallow', 'superficial', 'area', 'expanse', 'facade', 'face']"
19,fe,[],"['atomic number 26', 'iron', 'Fe']"
20,polarization,[],['emission']
21,percentage,"['whole', 'addition', 'increase']","['bonus', 'chunk', 'fee', 'interest', 'percent', 'proportion', 'rate', 'ratio', 'quota', 'allowance']"
22,studies,"['ignorance', 'neglect', 'negligence', 'disregard', 'forget', 'ignore', 'failure', 'entertainment']","['application', 'class', 'consideration', 'course', 'debate', 'examination', 'exercise', 'inquiry', 'inspection', 'investigation']"
23,measurements,"['ignorance', 'unimportance']","['amount', 'analysis', 'appraisal', 'assessment', 'density', 'dimension', 'evaluation', 'frequency', 'height', 'measure']"
24,immersion,['ascent'],"['concentration', 'consideration', 'debate', 'mind', 'scrutiny', 'thinking', 'thought', 'dive', 'plunge']"
25,loss,"['advantage', 'aid', 'assistance', 'attainment', 'benefit', 'blessing', 'favor', 'happiness', 'help', 'improvement']","['accident', 'casualty', 'catastrophe', 'cost', 'damage', 'debt', 'defeat', 'destruction', 'disaster', 'failure']"
26,acid,"['bland', 'dull', 'mild', 'kind', 'nice', 'sweet', 'calm', 'pleasant', 'helping', 'happy']","['acerbic', 'biting', 'piquant', 'pungent', 'acrid', 'caustic', 'mordant', 'nasty', 'sarcastic', 'stinging']"
27,carbon,['original'],"['graphite', 'soot', 'imitate', 'paint', 'photocopy', 'plagiarize', 'repeat', 'replicate', 'reproduce', 'rewrite']"
28,decontamination,['contamination'],['decontamination']
29,efficiency,"['idleness', 'ignorance', 'impotence', 'inability', 'inadequacy', 'incapability', 'incapacity', 'incompetence', 'ineptness', 'weakness']","['ability', 'adaptability', 'capability', 'competence', 'energy', 'expertise', 'performance', 'productivity', 'readiness', 'skill']"
30,electrochemical,[],['electrochemical']
31,water,"['gather', 'collect', 'dry', 'dehydrate', 'thicken', 'dirty', 'ignore']","['drink', 'rain', 'bathe', 'dilute', 'flood', 'inundate', 'irrigate', 'moisten', 'soak', 'spray']"
32,coatings,[],"['blanket', 'coat', 'crust', 'glaze', 'layer', 'membrane', 'patina', 'sheet', 'skin', 'varnish']"
33,protection,"['danger', 'destruction', 'insecurity', 'waste', 'subservience', 'block', 'impotence', 'disadvantage', 'disfavor', 'injury']","['conservation', 'insurance', 'preservation', 'safeguard', 'safety', 'security', 'shelter', 'stability', 'asset', 'choice']"
34,penetration,"['ineptness', 'inability', 'ignorance']","['infiltration', 'seepage', 'consumption', 'digestion', 'intake', 'penetration', 'retention', 'saturation', 'laceration', 'wound']"
35,al,[],"['aluminium', 'aluminum', 'Camellia State', 'Alabama', 'Heart of Dixie', 'Al', 'atomic number 13', 'AL']"
36,oxidation,"['building', 'construction', 'development', 'growth', 'improvement', 'strengthening']","['decay', 'decomposition', 'deterioration', 'erosion', 'rust', 'blaze', 'bonfire', 'heat', 'inferno']"
37,copper,[],"['cardinal', 'coral', 'crimson', 'flaming', 'glowing', 'maroon', 'rose', 'wine', 'detective', 'force']"
38,metal,[],"['alloy', 'hardware', 'ingot', 'mineral', 'ore', 'gold', 'iron', 'metal', 'platinum', 'earth']"
39,mol,[],"['mol', 'gram molecule', 'mole']"
40,rate,"['disregard', 'ignore']","['amount', 'estimate', 'percentage', 'quota', 'standard', 'cost', 'figure', 'price', 'tariff', 'tax']"
41,ph,[],"['pH', 'pH scale']"
42,brass,"['modesty', 'humility', 'cowardice']","['aloofness', 'disdain', 'ego', 'egotism', 'hubris', 'pretension', 'pride', 'smugness', 'vanity', 'presumption']"
43,cathodic,['anodic'],['computerized']
44,environment,"['ignorance', 'sky']","['climate', 'habitat', 'setting', 'situation', 'status', 'surroundings', 'atmosphere', 'ecosystem', 'air', 'ambience']"
45,performance,"['failure', 'hiding', 'reality', 'idleness', 'inaction', 'impotence', 'forfeit', 'incompetence', 'ignorance', 'weakness']","['achievement', 'act', 'conduct', 'work', 'appearance', 'behavior', 'concert', 'dance', 'display', 'drama']"
46,elastic,"['hard', 'inflexible', 'rigid', 'stiff', 'unadaptable', 'unbendable', 'unpliable', 'unyielding', 'lifeless', 'sad']","['flexible', 'malleable', 'pliable', 'resilient', 'springy', 'supple', 'adjustable', 'cheerful', 'cheery', 'graceful']"
47,constant,"['broken', 'discontinuous', 'imbalanced', 'inconsistent', 'inconstant', 'infrequent', 'intermittent', 'interrupted', 'irregular', 'temporary']","['consistent', 'continual', 'nonstop', 'perpetual', 'regular', 'stable', 'steady', 'unbroken', 'uninterrupted', 'ceaseless']"
48,refractive,[],"['deflective', 'refractive', 'refractile']"
49,inductive,['deductive'],"['inaugural', 'preparatory', 'exploratory', 'prior', 'preliminary', 'previous']"
50,zinc,[],"['gold', 'iron', 'metal', 'mineral', 'platinum']"
51,external,"['national', 'native', 'relevant', 'intrinsic', 'internal', 'endogenous', 'endogenic', 'ordinary', 'regular', 'normal']","['extraneous', 'foreign', 'exogenic', 'external', 'alien', 'alluring', 'bizarre', 'colorful', 'curious', 'different']"
52,sodium,[],"['atomic number 11', 'sodium', 'Na']"
53,free,"['ambiguous', 'blocked', 'closed', 'definite', 'restricted', 'strict', 'unclear', 'vague', 'dependent', 'blame']","['complimentary', 'able', 'clear', 'easy', 'independent', 'loose', 'open', 'unfettered', 'unrestricted', 'autonomous']"
54,thermal,"['calm', 'unhappy', 'cold', 'cooled', 'cool', 'violent', 'freezing', 'stormy']","['balmy', 'heated', 'hot', 'lukewarm', 'mild', 'pleasant', 'sunny', 'sweltering', 'temperate', 'tepid']"
55,decomposition,"['strengthening', 'construction', 'growth', 'development', 'building', 'improvement', 'increase', 'beginning', 'sterility']","['decay', 'disintegration', 'decomposition', 'deterioration', 'erosion', 'rust', 'blight', 'corrosion', 'degeneration', 'disrepair']"
56,organic,"['incomplete', 'poor', 'bad', 'dishonorable', 'unworthy', 'accessory', 'secondary', 'auxiliary', 'learned', 'nonessential']","['biological', 'nuclear', 'organic', 'physical', 'entire', 'exhaustive', 'full', 'outright', 'thorough', 'essential']"
57,exposure,"['certainty', 'safety', 'secret', 'surety', 'repudiation', 'refusal', 'denial', 'peace', 'unlikelihood', 'sureness']","['disclosure', 'hazard', 'liability', 'publicity', 'risk', 'vulnerability', 'acknowledgment', 'admission', 'assertion', 'concession']"
58,crystalline,"['cloudy', 'obscure', 'uncertain', 'indefinite', 'vague', 'equivocal', 'questionable', 'inexact', 'ambiguous']","['lucid', 'sparkling', 'translucent', 'apparent', 'categorical', 'definitive', 'explicit', 'obvious', 'precise', 'pronounced']"
59,protective,"['careless', 'inattentive', 'negligent', 'uncareful', 'thoughtless', 'loose', 'false', 'uncaring', 'unwise', 'irrational']","['careful', 'defensive', 'jealous', 'possessive', 'vigilant', 'warm', 'watchful', 'accurate', 'attentive', 'choosy']"
60,pb,[],"['Pbit', 'Pb', 'petabyte', 'petabit', 'lead', 'PiB', 'PB', 'pebibyte', 'atomic number 82']"
61,lead,"['center', 'disadvantage', 'interior', 'discourage', 'dissuade', 'fail', 'ignore', 'mismanage', 'neglect', 'surrender']","['advantage', 'edge', 'margin', 'point', 'start', 'top', 'attend', 'drive', 'force', 'get']"
62,alkaline,"['sweet', 'nice', 'mild', 'bland', 'kind']","['salty', 'soluble', 'abrasive', 'acerbic', 'acid', 'biting', 'mordant', 'pungent', 'alkaline', 'briny']"
63,asymmetric,"['unbent', 'untwisted', 'straight', 'reasonable', 'moderate', 'steady', 'smooth', 'even', 'balanced', 'stable']","['curved', 'curving', 'devious', 'errant', 'gnarled', 'meandering', 'serpentine', 'sinuous', 'twisted', 'twisting']"
64,additive,['decrease'],"['preservative', 'supplement', 'bonus', 'boost', 'enhancement', 'expansion', 'extension', 'aggregate', 'increasing', 'additive']"
65,homogeneous,"['unreasonable', 'dishonest', 'irrational', 'untrustworthy', 'unsteady', 'imbalanced', 'broken', 'unfixed', 'irregular', 'infrequent']","['dependable', 'logical', 'persistent', 'rational', 'steady', 'true', 'consistent', 'continual', 'nonstop', 'perpetual']"
66,volatile,"['certain', 'constant', 'definite', 'dependable', 'reliable', 'stable', 'steady', 'sure', 'thoughtful', 'reasonable']","['buoyant', 'capricious', 'elusive', 'erratic', 'fickle', 'resilient', 'ticklish', 'unsettled', 'unstable', 'cheerful']"
67,stainless,"['unsterile', 'corrupt', 'disorderly', 'obscure', 'gloomy', 'dull', 'dark', 'soiled', 'foul', 'filthy']","['celibate', 'monogamous', 'platonic', 'subdued', 'unblemished', 'virginal', 'blank', 'bright', 'clear', 'elegant']"
68,soil,"['sky', 'clean', 'elevate', 'honor', 'laud', 'purify', 'upgrade', 'praise']","['clay', 'dust', 'ground', 'land', 'region', 'besmirch', 'contaminate', 'debase', 'degrade', 'muddy']"
69,reduction,['increase'],"['contraction', 'cut', 'cutback', 'devaluation', 'discount', 'rebate', 'accommodation', 'adjustment', 'deduction', 'reduction']"
70,sour,"['agreeable', 'blah', 'bland', 'calm', 'dull', 'good', 'kind', 'mild', 'nice', 'pleasant']","['acid', 'acidic', 'acrid', 'biting', 'bitter', 'briny', 'caustic', 'fermented', 'musty', 'peppery']"
71,layer,"['reveal', 'uncover']","['bed', 'blanket', 'coat', 'floor', 'row', 'sheet', 'slab', 'thickness', 'region', 'zone']"
72,negative,"['confident', 'favorable', 'nice', 'good', 'helpful', 'beneficial', 'assisting', 'advantageous', 'kind', 'friendly']","['adverse', 'gloomy', 'pessimistic', 'unfavorable', 'weak', 'conflicting', 'detrimental', 'disadvantageous', 'inimical', 'injurious']"
73,durable,"['ephemeral', 'irresponsible', 'temporary', 'unreliable', 'weak', 'wobbly', 'unhealthy', 'unfixed', 'broken', 'soft']","['dependable', 'enduring', 'lasting', 'permanent', 'reliable', 'stable', 'strong', 'tenacious', 'durable', 'sure']"
74,autonomous,"['subservient', 'democratic', 'dependent']","['self-governing', 'sovereign', 'arbitrary', 'dictatorial', 'full', 'Socialist', 'autonomous', 'constitutional', 'egalitarian', 'free']"
75,hazardous,"['certain', 'definite', 'safe', 'secure', 'stable', 'strong', 'sure', 'well', 'weak', 'shy']","['dicey', 'difficult', 'perilous', 'precarious', 'risky', 'uncertain', 'unhealthy', 'unsafe', 'unsound', 'adventuresome']"
76,absorb,"['miss', 'misunderstand', 'abstain']","['consume', 'ingest', 'swallow', 'assimilate', 'follow', 'get', 'incorporate', 'learn', 'understand', 'employ']"
77,similar,"['alien', 'different', 'disconnected', 'dissimilar', 'unalike', 'unequal', 'unlike', 'unrelated']","['akin', 'analogous', 'comparable', 'complementary', 'identical', 'related', 'similar']"
78,pattern,"['disorder', 'disorganization', 'one', 'individual', 'unite', 'combine']","['arrangement', 'kind', 'method', 'sequence', 'shape', 'sort', 'style', 'system', 'type', 'variety']"
79,physical,"['mental', 'unfixed', 'spiritual', 'uncertain', 'decent', 'clean', 'moral', 'immaterial', 'otherworldly', 'heavenly']","['environmental', 'natural', 'real', 'substantial', 'bodily', 'personal', 'visceral', 'certain', 'definite', 'physical']"
80,activation,"['deactivation', 'inactivation']","['energizing', 'activating', 'activation']"
81,excess,"['insufficiency', 'lack', 'need', 'want']","['exuberance', 'glut', 'overkill', 'surplus', 'waste', 'extravagance', 'extreme', 'inventory', 'stockpile', 'difference']"
82,transparent,"['blocked', 'cloudy', 'complicated', 'deceitful', 'devious', 'difficult', 'dishonest', 'hard', 'involved', 'lying']","['clear', 'thin', 'translucent', 'candid', 'clear-cut', 'easy', 'honest', 'sincere', 'straightforward', 'conspicuous']"
